Rule ID,SDTMIG Version,Rule Version,Class,Domain,Variable,Condition,Rule,Document,Section,Item ,Cited Guidance,Release Notes,,,,,,,,,,,,
CG0024,3.3,1,ALL,ALL,--LNKID,--LNKID present in a domain,--LNKID present in another domain,IG v3.3,4.2.6,2.E.1,"--LNKID is a grouping identifier used to identify a record in one domain that is related to records in another domain, often forming a one-to-many relationship.",,,,,,,,,,,,,
CG0024,3.4,1,ALL,ALL,--LNKID,--LNKID present in a domain,--LNKID present in another domain,IG v3.4,4.2.6,2.E.1,"--LNKID is a grouping identifier used to identify a record in one domain that is related to records in another domain, often forming a one-to-many relationship.",No Change,,,,,,,,,,,,
CG0026,3.2,1,ALL,ALL,--RFTDTC,--TPTREF = null,--RFTDTC = null,Model v1.4,2.2.5,Table 2.2.5: --RFTDTC,Date/time for a fixed reference time point defined by --TPTREF in ISO 8601 character format.,,,,,,,,,,,,,
CG0026,3.3,1,ALL,ALL,--RFTDTC,--TPTREF = null,--RFTDTC = null,Model v1.7,2.2.5,--RFTDTC,Date/time for a fixed reference time point defined by --TPTREF,,,,,,,,,,,,,
CG0026,3.4,1,ALL,ALL,--RFTDTC,--TPTREF = null,--RFTDTC = null,Model v2.0,Timing,--RFTDTC,"The actual date or date and time of a time point that acts as a fixed reference for a series of planned time points, represented in a standardized character format. The fixed reference point is in --TPTREF.",Cited guidance updated. Reference to model section and item updated per new style.,,,,,,,,,,,,
CG0027,3.2,1,ALL,ALL,--SCAT,--SCAT ^= null,--SCAT ^= --CAT,Model v1.4,2.2.1,Table 2.2.1: --SCAT,Used to define a further categorization of --CAT values.,,,,,,,,,,,,,
CG0027,3.3,1,ALL,ALL,--SCAT,--SCAT ^= null,--SCAT ^= --CAT,Model v1.7,2.2.1,--SCAT,Used to define a further categorization of --CAT values.,,,,,,,,,,,,,
CG0027,3.4,1,ALL,ALL,--SCAT,--SCAT ^= null,--SCAT ^= --CAT,Model v2.0,Interventions,--SCAT,"A further grouping or classification of the category for the topic of the finding, event, or intervention. The category is in --CAT.",Cited guidance updated. Reference to model section and item updated per new style.,,,,,,,,,,,,
CG0028,3.2,1,ALL,ALL,--SEQ,Variable is not TS.TSSEQ,"--SEQ is a unique number per USUBJID per domain, or a unique number per POOLID per domain, including when the domain is split into multiple files",Model v1.4,2.2.4,Table 2.2.4: --SEQ,"Sequence number to ensure uniqueness of records within a dataset for a subject (or within a parameter, in the case of the Trial Summary domain). May be any valid number (including decimals) and does not have to start at 1.",,,,,,,,,,,,,
CG0028,3.3,1,ALL,ALL,--SEQ,Variable is not TS.TSSEQ,"--SEQ is a unique number per USUBJID per domain, or a unique number per POOLID per domain, including when the domain is split into multiple files",Model v1.7,2.2.4,--SEQ,"Sequence number to ensure uniqueness of records within a dataset for a subject (or within a parameter, in the case of the Trial Summary domain). May be any valid number (including decimals) and does not have to start at 1.",,,,,,,,,,,,,
CG0028,3.4,1,ALL,ALL,--SEQ,Variable is not TS.TSSEQ,"--SEQ is a unique number per USUBJID per domain, or a unique number per POOLID per domain, including when the domain is split into multiple files",Model v2.0,Identifiers,--SEQ,"A number used to uniquely identify records for a subject within a domain. The Trial Summary domain does not contain subject data, and TSSEQ is a sequence number to ensure uniqueness within the dataset.",Cited guidance updated. Reference to model section and item updated per new style.,,,,,,,,,,,,
CG0029,3.2,1,ALL,ALL,USUBJID,Domain Not in ('AP--'),USUBJID in DM.USUBJID,IG v3.2,4.1.2.3,,... a unique identifier (USUBJID) should be assigned and included in all datasets. The unique subject identifier (USUBJID) is required in all datasets containing subject-level data.,,,,,,,,,,,,,
CG0029,3.3,1,ALL,ALL,USUBJID,Domain Not in ('AP--'),USUBJID in DM.USUBJID,IG v3.3,4.2.3,,The unique subject identifier (USUBJID) is required in all datasets containing subject-level data. USUBJID values must be unique for each trial participant (subject) across all trials in the submission.,,,,,,,,,,,,,
CG0029,3.4,1,ALL,ALL,USUBJID,Domain Not in ('AP--'),USUBJID in DM.USUBJID,IG v3.4,4.2.3,,The unique subject identifier (USUBJID) is required in all datasets containing subject-level data. USUBJID values must be unique for each trial participant (subject) across all trials in the submission.,No Change,,,,,,,,,,,,
CG0031,3.2,1,ALL,ALL,VISIT,VISIT ^= null and is planned,VISIT in TV.VISIT,IG v3.2,4.1.4.5,,"For planned visits, values of VISIT, VISITNUM, and VISITDY must be those defined in the Trial Visits dataset,",,,,,,,,,,,,,
CG0031,3.3,1,ALL,ALL,VISIT,VISIT ^= null and is planned,VISIT in TV.VISIT,IG v3.3,4.4.5,,"For planned visits, values of VISIT, VISITNUM, and VISITDY must be those defined in the Trial Visits dataset,",,,,,,,,,,,,,
CG0031,3.4,1,ALL,ALL,VISIT ,VISIT ^= null and is planned,VISIT in TV.VISIT,IG v3.4,4.4.5,,"For planned visits, values of VISIT, VISITNUM, and VISITDY must be those defined in the Trial Visits (TV) dataset (Section 7.3.1, Trial Visits).",Text for cited guidance was slightly modified in SDTMIG v3.4,,,,,,,,,,,,
